type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,40:91:51:FB:BC:00,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,5717058,0,28,0,0,6.11614,128,[28 -64 1 0 0 0 0 0 0 0 0 0 6 45 3 36 7 44 4 36 1 38 0 31 -4 31 -3 31 -1 28 -1 29 1 29 0 28 -1 26 -1 22 -1 22 1 20 1 16 3 19 1 18 1 14 -2 18 -1 16 2 14 6 12 3 13 4 11 0 0 0 12 3 12 5 15 6 10 2 7 2 8 7 11 3 9 5 12 4 9 5 11 4 10 3 8 3 9 4 11 3 9 5 13 3 10 3 11 4 11 4 13 2 13 2 13 5 14 3 12 4 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-78,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,5757222,0,135,0,0,6.15602,128,[-121 112 8 0 0 0 0 0 0 0 0 0 8 -46 11 -38 9 -43 9 -39 11 -39 10 -33 9 -32 12 -30 10 -30 8 -29 6 -30 7 -27 4 -26 3 -27 5 -23 1 -22 2 -22 -1 -20 1 -18 3 -18 0 -16 1 -17 1 -15 -5 -14 0 -14 -2 -12 0 0 0 -12 -3 -12 -7 -11 -5 -11 -5 -11 -3 -12 -4 -12 -2 -11 -5 -12 -1 -13 -5 -13 -5 -10 -5 -11 -3 -11 -6 -11 -5 -11 -6 -13 -3 -9 -6 -13 -8 -14 -5 -12 -6 -12 -7 -14 -3 -14 -6 -11 -6 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-81,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,6274994,0,390,0,0,6.6737,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 22 20 16 17 20 20 16 20 16 21 14 20 13 20 12 19 16 20 12 20 14 16 15 17 13 18 12 17 11 18 12 15 12 14 11 11 9 10 9 9 12 13 11 10 12 6 13 12 12 9 11 8 0 0 9 8 9 7 9 8 10 6 12 8 6 8 9 9 10 6 6 5 7 3 9 2 10 7 11 1 8 6 9 3 8 2 10 2 10 2 10 3 11 4 12 5 8 3 9 5 10 2 10 3 12 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-80,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,6324136,0,390,0,0,6.72257,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -4 -30 -8 -24 -5 -36 -3 -30 -5 -30 -3 -29 -3 -26 1 -26 -5 -26 -1 -25 -2 -25 2 -24 -6 -23 -8 -24 -4 -18 -10 -21 -5 -15 -5 -14 -3 -13 -6 -21 -7 -19 -1 -19 -1 -14 -8 -11 -5 -14 -4 -16 0 0 -7 -12 -4 -14 -4 -14 -7 -13 -4 -9 -4 -13 -5 -12 -7 -14 -6 -11 -7 -16 -6 -11 -6 -10 -3 -10 -7 -7 -7 -11 -6 -7 -7 -10 -6 -11 -7 -12 -5 -7 -5 -8 -9 -9 -8 -10 -10 -15 -3 -10 -8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-73,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,6777386,0,390,0,0,7.17633,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 2 33 1 28 0 34 -3 27 -1 29 -4 24 -1 26 -5 22 -3 25 -4 25 -5 24 -5 23 -6 21 -4 22 -5 20 -2 24 -1 17 0 18 -2 15 -1 17 -4 16 0 16 -1 18 -1 16 0 15 2 15 0 0 3 13 2 17 2 14 5 15 4 13 3 13 5 14 4 12 7 13 5 14 7 14 5 12 6 15 6 12 7 14 5 14 8 15 7 13 7 16 9 14 7 13 7 12 6 13 10 12 7 13 7 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-80,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,6827873,0,82,0,0,7.22624,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -12 23 -11 25 -13 22 -11 21 -13 23 -14 17 -13 17 -12 18 -13 17 -15 17 -12 18 -12 14 -12 17 -13 14 -12 16 -11 13 -9 12 -7 13 -9 12 -8 12 -10 12 -7 12 -6 14 -6 16 -8 12 -6 12 0 0 -4 10 -5 15 -2 12 -2 11 -3 12 -2 11 -2 14 -1 13 -2 13 -2 12 -2 12 -1 12 2 15 1 13 0 12 0 13 1 16 -1 12 2 14 1 12 2 13 1 15 2 12 3 13 2 13 0 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-77,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7273040,0,82,0,0,7.67147,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 19 13 17 15 19 9 17 12 20 7 14 9 18 9 17 10 18 7 19 8 17 4 17 5 18 6 16 5 14 9 18 6 13 7 15 5 15 6 16 8 12 7 14 5 14 8 15 5 16 6 11 0 0 7 11 10 14 7 11 9 12 7 11 8 12 11 11 10 12 8 10 11 9 10 11 12 11 9 10 11 12 12 9 12 8 13 11 11 10 13 9 15 9 14 8 12 12 15 12 13 10 12 10 12 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-78,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7477329,0,82,0,0,7.87575,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -12 -12 -12 -14 -15 -15 -14 -11 -15 -10 -13 -12 -12 -12 -12 -12 -14 -9 -12 -8 -13 -9 -12 -11 -12 -11 -13 -11 -11 -11 -12 -10 -10 -9 -10 -7 -12 -8 -11 -11 -11 -9 -13 -10 -11 -11 -11 -12 -13 -11 -12 0 0 -12 -7 -12 -9 -11 -9 -14 -7 -10 -8 -13 -5 -15 -10 -14 -8 -13 -7 -11 -5 -13 -5 -11 -3 -15 -6 -14 -6 -13 -3 -16 -4 -16 -4 -15 -5 -16 -4 -17 -3 -16 -6 -16 -4 -15 -3 -17 -3 -19 -2 -19 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-77,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,7772487,0,82,0,0,8.1709,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 19 8 18 5 20 6 17 4 22 4 20 5 20 7 15 0 19 -1 19 3 20 0 17 -1 22 3 20 2 17 1 17 -1 16 2 16 -2 15 -1 18 -2 18 -1 16 0 15 -1 14 0 20 0 16 0 0 1 15 -2 15 -1 17 -3 13 -1 12 0 15 -1 17 2 14 2 16 0 14 1 16 0 16 3 17 1 16 3 15 1 15 1 15 2 15 3 17 2 15 2 16 1 19 1 18 2 17 1 17 4 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-78,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8479176,0,82,0,0,8.8776,384,[82 -96 4 0 0 0 0 0 0 0 0 0 22 -8 20 -6 22 -5 19 -4 21 -2 17 0 20 -2 19 0 19 -2 24 -3 18 -1 18 1 19 1 18 1 16 -1 18 0 15 -2 16 0 16 -1 14 -1 15 -3 15 -2 16 -1 14 -2 16 -1 14 -1 0 0 13 -3 16 -4 12 -3 13 -5 11 -3 12 -5 15 -6 14 -6 12 -8 13 -8 14 -6 12 -5 12 -4 13 -8 15 -11 14 -10 15 -9 12 -9 14 -10 12 -10 13 -11 13 -12 17 -11 11 -12 14 -11 10 -11 0 0 0 0 0 0 0 0 0 0 ]
