type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,78:2B:46:50:75:03,-90,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1394870,0,123,0,0,1.79382,128,[123 -80 7 0 0 0 0 0 0 0 0 0 -12 1 -12 -7 -10 -2 -8 -7 -10 -5 -9 -7 -10 -11 -6 -2 -10 -6 -11 -1 -12 -7 -8 -5 -9 -8 -8 -9 -7 -10 -15 -13 -7 -10 -13 -3 -10 -2 -14 -9 -13 -5 -8 -7 -9 -10 -10 -5 -12 -15 -12 -9 0 0 -8 -12 -8 -10 -12 -7 -11 -6 -5 -11 -7 -8 -12 -8 -9 -4 -11 -14 -12 -10 -11 -13 -7 -10 -10 -21 -15 -10 -10 -12 -10 -8 -5 -11 -7 -11 -11 -7 -6 -11 -5 -8 -7 -8 -7 -9 -5 -11 -11 -11 -5 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4072774,0,28,0,0,4.47148,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -20 21 -21 18 -20 20 -22 18 -22 17 -21 13 -22 13 -23 10 -23 13 -20 12 -21 14 -22 14 -22 12 -22 14 -20 11 -22 13 -20 11 -18 11 -18 9 -18 9 -19 9 -19 11 -17 10 -17 12 -18 14 -18 11 0 0 -17 12 -17 14 -17 14 -15 16 -14 12 -16 13 -16 14 -16 12 -16 15 -15 13 -15 16 -13 15 -14 18 -14 15 -15 16 -16 17 -13 19 -12 16 -15 15 -14 16 -15 16 -14 18 -12 16 -11 19 -10 18 -11 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4073380,0,157,0,0,4.5072,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 20 -22 20 -17 22 -19 21 -18 22 -16 20 -12 21 -14 22 -10 22 -12 22 -12 22 -12 21 -14 22 -11 21 -12 19 -9 22 -12 19 -11 18 -10 17 -7 18 -9 18 -8 19 -10 16 -9 17 -11 18 -12 18 -9 0 0 17 -11 19 -13 17 -13 15 -14 14 -11 17 -12 16 -13 18 -11 12 -15 14 -13 15 -15 14 -14 14 -16 15 -12 16 -16 17 -15 17 -18 14 -14 16 -14 14 -15 16 -14 16 -17 14 -16 13 -18 13 -17 13 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4166099,0,135,0,0,4.56468,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -22 13 -24 10 -24 11 -25 10 -24 7 -23 6 -24 4 -23 3 -23 3 -20 5 -23 8 -22 9 -22 7 -22 7 -21 3 -22 3 -21 3 -18 4 -19 3 -19 1 -19 2 -19 2 -16 4 -19 6 -19 8 -19 5 0 0 -18 5 -19 5 -20 6 -17 8 -16 6 -20 6 -19 5 -17 5 -20 12 -19 8 -17 10 -15 9 -16 12 -18 8 -17 8 -21 8 -17 9 -17 9 -19 8 -18 8 -19 8 -18 8 -15 10 -16 12 -14 13 -16 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4682224,0,390,0,0,5.08072,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -12 -21 -12 -20 -11 -22 -9 -21 -9 -23 -7 -20 -6 -21 -5 -22 -5 -21 -4 -22 -5 -21 -4 -20 -4 -21 -3 -21 -3 -19 -2 -21 -3 -20 -4 -19 -2 -18 -3 -19 -3 -17 -3 -20 -3 -17 -3 -17 -3 -17 -4 -17 0 0 -3 -17 -4 -18 -3 -17 -4 -16 -4 -15 -4 -16 -5 -18 -5 -17 -5 -16 -7 -17 -6 -16 -6 -17 -6 -17 -8 -16 -7 -18 -6 -15 -7 -17 -8 -15 -7 -17 -8 -16 -9 -17 -8 -18 -10 -18 -8 -16 -9 -16 -8 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4749743,0,390,0,0,5.14815,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 11 20 11 18 8 21 8 18 7 20 6 20 3 21 5 20 4 18 3 19 5 20 4 21 2 20 3 19 2 18 2 20 1 18 2 16 2 17 2 16 1 16 3 16 2 17 2 16 3 17 4 16 0 0 4 16 4 17 4 15 5 15 4 15 4 15 4 17 6 15 5 16 7 15 7 16 6 14 7 15 6 15 7 14 7 14 8 15 8 13 8 15 8 14 9 14 8 16 8 15 9 14 9 14 9 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4796522,0,82,0,0,5.19464,384,[82 -96 4 0 0 0 0 0 0 0 0 0 21 7 17 7 22 8 18 7 21 10 16 10 18 11 16 11 17 11 18 13 15 13 14 12 15 12 16 12 12 11 16 12 13 9 15 9 13 11 14 10 14 10 13 9 13 12 13 10 14 10 12 8 0 0 12 8 15 8 13 7 15 8 13 6 15 8 15 8 15 7 15 6 16 6 15 6 13 6 16 6 15 4 17 3 14 3 18 3 14 3 17 4 16 2 16 3 17 2 18 4 18 2 16 2 17 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4827062,0,82,0,0,5.22522,384,[82 -96 4 0 0 0 0 0 0 0 0 0 23 -1 20 -1 23 0 21 2 23 1 19 3 21 4 19 3 20 3 21 5 19 4 19 5 19 5 18 5 16 5 19 3 15 4 18 4 16 5 16 4 16 4 17 3 16 3 16 3 16 4 15 3 0 0 16 2 17 1 15 0 17 1 15 0 16 1 16 0 16 0 16 -1 18 -2 16 -3 15 -1 16 -2 15 -3 17 -4 15 -5 18 -4 15 -4 16 -4 16 -5 16 -4 15 -5 17 -5 17 -6 16 -5 15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,5186629,0,82,0,0,5.58493,128,[82 -96 4 0 0 0 0 0 0 0 0 0 4 -29 8 -27 7 -28 8 -28 9 -27 11 -23 11 -23 13 -21 12 -23 12 -21 11 -23 10 -24 11 -22 11 -24 12 -20 11 -22 11 -20 9 -19 10 -17 9 -17 10 -18 9 -19 8 -17 8 -18 7 -21 9 -19 0 0 7 -20 7 -21 6 -21 3 -21 5 -18 6 -19 5 -21 6 -19 3 -21 5 -20 4 -22 3 -20 1 -23 4 -22 2 -22 4 -23 2 -23 2 -20 4 -21 2 -22 3 -22 2 -23 1 -21 0 -23 -1 -22 0 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,40:91:51:FB:BC:00,-71,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,5688090,0,82,0,0,6.08642,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -23 -5 -23 -5 -24 -4 -22 -2 -25 -1 -21 -1 -22 -1 -21 0 -21 1 -22 0 -21 2 -21 2 -21 2 -20 3 -19 2 -21 1 -18 1 -19 3 -18 2 -18 2 -19 2 -18 1 -18 0 -16 1 -18 0 -18 0 0 -1 -17 0 -19 -1 -16 -2 -18 0 -16 -1 -18 -1 -17 -2 -17 -3 -17 -3 -17 -3 -17 -3 -16 -2 -18 -2 -17 -4 -16 -3 -16 -4 -15 -5 -18 -5 -16 -5 -16 -4 -17 -6 -18 -5 -17 -7 -18 -6 -17 -7 -16 0 0 0 0 0 0 0 0 0 0 ]
